Blueprint	Name	Description	Grouping	Category	Family	Classification	Heavy	Two Handed	Min Damage	Max Damage	Armor Pen	Dodge Reduction	Extra Hit Chance	Rate of Fire	Recoil	Max Range	Ammo	Attack 1	Type	Cost	GFX	On Hit	Attack 2	Type	Cost	GFX	On Hit	Attack 3	Type	Cost	GFX	On Hit	Attack 4	Type	Cost	GFX	On Hit	Attack 5	Type	Cost	GFX	On Hit	Sources	Extra Facts
Chapter3_Pattern_Shotgun_Item	[Mars-Pattern] Shotgun	<i>Shotguns knock enemies back when shot at {g|Encyclopedia:Range}effective range{/g}.</i>	Shotgun	Basic	Solid	Shotgun	false	true	27	35	10	0	0	1	0	7	8	Shotgun_ScatterAbility	AOE	1	Shotgun_Shot_AbilityFXSettings		ReloadAbility	Reload	2	Shotgun_Shot_AbilityFXSettings			None					None					None				Vendor - PitBossChapter3_VendorTable_Base 0PF, Chest - Prison: Drukhari_DLC2_PrisonPitOwnChest	ShotgunPush_Feature	SolidProjectileWeapon_Feature
Chapter3_Unique_SpiderWebber_Item	The Spider's Web	This webber's {g|Encyclopedia:AreaOfEffect}area attacks{/g} cost 1 {g|Encyclopedia:ActionPoints}AP{/g}.\nIf this weapon's {g|Encyclopedia:SingleRangedAttacksGlossary}single-shot{/g} attack {g|Encyclopedia:ImmobilisedEffect}immobilises{/g} a target, it must pass an {g|Encyclopedia:WarhammerAgility}Agility{/g} {g|Encyclopedia:ResistanceTest}resistance test{/g} with a +20 bonus or suffer {g|Encyclopedia:CantAttackEffect}cannot attack{/g} for 1 {g|Encyclopedia:Round}round{/g}.	Webber	Basic	Exotic	false	false	true	10	20	0	5	0	1	0	6	8	SingleShotWebber_Ability	SingleShot	1	Webber_SingleShot_AbilityFXSettings	Chapter3_Unique_SpiderWebber_AdditionalEffect	Webber_AoEAbility	AOE	1	Webber_AoEShot_AbilityFXSettings	Webber_AbilityAdditionalEffect	ReloadAbility	Reload	3				None					None				Chest - PrisonLabBottom: Drukhari_Ch03_PrisonLabTrash04_DLC2	
Chapter3_Unique_ViglisPistol_Item	Bloody Vigil	The first {g|f:2162ce26f6db4cd1b748a4105c364ddb}Fulminating Shot{/g}, {g|f:027e75ab89364049b844a720feca85ec}Grisly Adjudication{/g}, or {g|f:def7164545244af28d52cd38d0502525}Double Slug{/g} from this weapon per {g|Encyclopedia:Turn}turn{/g} costs 1 {g|Encyclopedia:ActionPoints}AP{/g} and gains an additional +{uip|Critical Hit Chance|08e2ca4d59134bb58ca1e5fa7221eb58}% {g|Encyclopedia:CritChancesAndCritDamageGlossary}critical hit chance{/g}.	Shotgun	Pistol	Solid	Shotgun	false	false	25	30	10	0	0	1	0	6	6	ShotgunFoehammer_ScatterAbility	AOE	1	Shotgun_Shot_AbilityFXSettings		ReloadAbility	Reload	1				None					None					None				Unit - SolomorneCompanion: SOLOMORNE_FORTEASER_ExportedPregen	Chapter3_Unique_ViglisPistol_Feature	ShotgunPush_Feature	SolidProjectileWeapon_Feature
Chapter4_Pattern_Shotgun_Item	[Sol-Pattern] Shotgun		Shotgun	Basic	Solid	Shotgun	false	true	35	45	10	0	0	1	0	7	8	Shotgun_ScatterAbility	AOE	1	Shotgun_Shot_AbilityFXSettings		ReloadAbility	Reload	2	Shotgun_Shot_AbilityFXSettings			None					None					None				Vendor - ExploratorChapter4_VendorTable_Base 71PF	ShotgunPush_Feature	SolidProjectileWeapon_Feature
Chapter4_Unique_ButNotLeastShotgun_Item	Final Chord	When shooting the last shell from this shotgun, this shot ignores the target's {g|Encyclopedia:WarhammerArmourGlossary}armour{/g}. That target must pass an {g|Encyclopedia:WarhammerAgility}Agility{/g} {g|Encyclopedia:ResistanceTest}resistance test{/g} or become {g|Encyclopedia:ImmobilisedEffect}immobilised{/g}.	Shotgun	Basic	Solid	Shotgun	false	true	30	40	10	0	0	1	0	7	4	Shotgun_ScatterAbility	AOE	1	Shotgun_Shot_AbilityFXSettings		ReloadAbility	Reload	1	Shotgun_Shot_AbilityFXSettings			None					None					None				Unit - ExportedPregens: Solomorne_LvL38_Varl1n_v2_ExportedPregen, Unit - ExportedPregens: Solomorne_LvL38_Varl1n_v2_ExportedPregen_OLD, Vendor - PirateChapter4_VendorTable_Base 122PF	ShotgunPush_Feature	SolidProjectileWeapon_Feature	Chapter4_Unique_ButNotLeastShotgun_Feature
Chapter4_Unique_EmptyPromiseMaul_Item	Torturer	This weapon deals +30% more damage to {g|Encyclopedia:Stun}stunned{/g} targets and +20% more damage to {g|Encyclopedia:StaggeredEffect}staggered{/g} targets.	Hammer	Melee	Power	MaulOrHammer	false	false	23	37	40	0	0	0	0	1	-1	HammersMeleeAttack_Ability	SingleShot	1	PowerMaul_AbilityFXSettings		PowerMaul_AoE_Ability	AOE	2	PowerMaul_AbilityFXSettings		Hammer_PushAbility	SingleShot	2	PowerMaul_AbilityFXSettings	Hammer_PushAbilityAdditionalEffect		None					None				Unit - ExportedPregens: Solomorne_LvL38_Varl1n_v2_ExportedPregen, Unit - ExportedPregens: Solomorne_LvL38_Varl1n_v2_ExportedPregen_OLD, Unit - ExportedPregens: Solomorne_LvL40_Varl1n_v2_ExportedPregen, Unit - ExportedPregens: Solomorne_LvL40_Varl1n_v2_ExportedPregen_OLD, Vendor - PirateChapter4_VendorTable_Base 70PF	Chapter4_Unique_EmptyPromiseMaul_Feature
Chapter4_Unique_GoldenOpportunityKnife_Item	Death Hymn	Whenever the wielder kills an enemy with this knife for the first time in a {g|Encyclopedia:Turn}turn{/g}, they immediately use {g|f:c647c1c4a1a14c9cb31217ee439164ff}War Hymn{/g}, which does not provoke {g|Encyclopedia:AttackOfOpportunityFullGlossary}attacks of opportunity{/g}.	Dagger	Melee	Primitive	false	false	false	25	40	15	60	0	0	0	1	-1	SwordsMeleeAttack_Ability	SingleShot	1	Knife_AbilityFXSettings			None					None					None					None				Chest - TreasureWorld: Loot_Quest_FeralGuard_Peaks_Loot	Chapter4_Unique_GoldenOpportunityKnife_Feature
Chapter4_Unique_LastRitesVindictorFlamer_Item	Undertaker	Whenever any creature in combat suffers lethal damage from {g|Encyclopedia:BurningEffect}burning{/g}, the wielder deals +30% more damage with this weapon for 1 {g|Encyclopedia:Round}round{/g}. Does not stack.	Flame	Basic	Flame	false	false	true	30	45	5	0	0	0	0	4	6	Flamer_LinearTemplate_Ability	AOE	1	Flamer7_Line_AbilityFXSettings	FlamersBurning_AdditionalEffect	Flamer_WideTemplate_Ability	AOE	2	Flamer7_Wide_AbilityFXSettings	FlamersBurning_AdditionalEffect	Chapter4_Unique_LastRitesVindictorFlamer_MeleeSingle_Ability	SingleShot	1	ChainSword_AbilityFXSettings		Chapter4_Unique_LastRitesVindictorFlamer_MeleeAOE_Ability	AOE	2	ChainSword_AbilityFXSettings		ReloadAbility	Reload	3			Vendor - DrusianChapter4_VendorTable_Base 100PF	Burning_Power10_ForWeapon_Feature	Chapter2_Common_VindictorFlamer_Feature	ChainCritDamage50_Feature	Chapter4_Unique_LastRitesVindictorFlamer_Feature
Chapter4_Unique_MotivatorLaspistol_Item	Bloody Mentor	Whenever the wielder {g|Encyclopedia:HitSequenceGlossary}hits{/g} an ally with this weapon, that ally gains +1 {g|Encyclopedia:ActionPoints}AP{/g}, +{uip|MP|e4e4fabc823f464e8b261ca68d33143c} {g|Encyclopedia:MovementPoints}MP{/g}, and +{uip|Crit|e4e4fabc823f464e8b261ca68d33143c}% {g|Encyclopedia:CritChancesAndCritDamageGlossary}critical hit chance{/g} during their next {g|Encyclopedia:Turn}turn{/g}. This bonus does not stack.	Pistol	Pistol	Laser	false	false	false	12	12	30	35	0	6	15	10	24	BurstFire_PistolAbility	Burst	2	LasPistol_LasShot_AbilityFXSettings		ReloadAbility	Reload	1	LasPistol_LasShot_AbilityFXSettings			None					None					None				Unit - DLC2_Ch04_TreasureWorld: TreasureWorld_FeralGuard_Commissar	Chapter4_Unique_MotivatorLaspistol_Feature
Chapter4_Unique_OrganDamageMaul_Item	Coffinmaker's Sledge	This weapon's single-target attacks deal additional {g|Encyclopedia:DirectDamage}direct damage{/g} equal to <u>5% of target's {g|Encyclopedia:MaxWounds}maximum wounds{/g}</u> (up to a maximum of 300).	Hammer	Melee	Power	MaulOrHammer	false	false	25	40	40	0	0	0	0	1	-1	HammersMeleeAttack_Ability	SingleShot	1	PowerMaul_AbilityFXSettings		PowerMaul_AoE_Ability	AOE	2	PowerMaul_AbilityFXSettings		Hammer_PushAbility	SingleShot	2	PowerMaul_AbilityFXSettings	Hammer_PushAbilityAdditionalEffect		None					None				Chest - TreasureWorld: Loot_Demoliton_Door_Hidden	
Chapter4_Unique_ScopedShotgun_Item	Scoped Shotgun	This weapon has an additional single-target attack that deals double damage and {g|Encyclopedia:PushGlossary}pushes{/g} the target 5 cells away. For this attack, the minimal firing range is 2 cells, and the {g|Encyclopedia:Range}effective range{/g} is increased by +5.	Shotgun	Basic	Solid	Shotgun	false	true	35	40	10	10	5	1	0	7	8	Shotgun_ScatterAbility	AOE	1	Shotgun_Shot_AbilityFXSettings		Chapter4_Unique_ScopedShotgun_SingleShot_Ability	SingleShot	1	Bolter_BoltShot_AbilityFXSettings		ReloadAbility	Reload	2	Shotgun_Shot_AbilityFXSettings			None					None				Unit - ExportedPregens: Solomorne_LvL40_Varl1n_v2_ExportedPregen, Unit - ExportedPregens: Solomorne_LvL40_Varl1n_v2_ExportedPregen_OLD, Chest - TreasureWorld: Loot_Arbitor_Good	ShotgunPush_Feature	SolidProjectileWeapon_Feature	Chapter4_Unique_ScopedShotgun_Feature
Chapter4_Unique_UncoverHeavyStubber_Item	Advanced Heavy Stubber	Destructible {g|Encyclopedia:DetailsOfTheCoverGlossary}cover{/g} {g|Encyclopedia:HitSequenceGlossary}hit{/g} by this stubber is instantly destroyed. Both destructible and indestructible covers are automatically overpenetrated.	Autogun	Heavy	Solid	false	true	true	10	11	20	0	0	10	50	20	80	SingleShot_Ability	SingleShot	2	SolidProjectile_Shot_AbilityFXSettings		BurstFire_Ability	Burst	3	SolidProjectile_Shot_AbilityFXSettings		ReloadAbility	Reload	4	HeavyBolter_BoltShot_AbilityFXSettings			None					None				Vendor - ExploratorChapter4_VendorTable_Base 145PF	Chapter4_Unique_UncoverHeavyStubber_Feature
Chapter4_Unique_UnderarmFoehammer_Item	Arbites Underarm Foehammer	When the wielder kills the target with a {g|Encyclopedia:MeleeAttacksGlossary}melee attack{/g} for the first time in a {g|Encyclopedia:Round}round{/g}, they gain +1 free ranged attack from this weapon until the end of their {g|Encyclopedia:Turn}turn{/g}.	Shotgun	Pistol	Solid	Shotgun	false	false	30	40	10	0	0	1	0	6	6	ShotgunFoehammer_ScatterAbility	AOE	1	Shotgun_Shot_AbilityFXSettings		ReloadAbility	Reload	1				None					None					None				Vendor - LiegeChapter4_VendorTable_Base 120PF	Chapter4_Unique_UnderarmFoehammer_Feature	ShotgunPush_Feature	SolidProjectileWeapon_Feature
Chapter5_Unique_BurnAndSlashVindictorFlamer_Item	Insatiable	{g|Encyclopedia:MeleeAttacksGlossary}Melee attacks{/g} from this weapon against {g|Encyclopedia:BurningEffect}burning{/g} targets deal +<u>(5 × target's burning level)</u>% more damage.	Flame	Basic	Flame	false	false	true	35	50	5	0	0	0	0	7	6	Flamer_LinearTemplate_Ability	AOE	1	Flamer7_Line_AbilityFXSettings	FlamersBurning_AdditionalEffect	Flamer_WideTemplate_Ability	AOE	2	Flamer7_Wide_AbilityFXSettings	FlamersBurning_AdditionalEffect	Chapter5_Unique_BurnAndSlashVindictorFlamer_MeleeSingle_Ability	SingleShot	1	ChainSword_AbilityFXSettings		Chapter5_Unique_BurnAndSlashVindictorFlamer_MeleeAOE_Ability	AOE	2	ChainSword_AbilityFXSettings		ReloadAbility	Reload	3			Chest - TechArcGrave_Lair: AdeptusMechanicus_ExploratorConfession_DLC2	Chapter5_Unique_BurnAndSlashVindictorFlamer_Feature	Burning_Power10_ForWeapon_Feature	ChainCritDamage50_Feature	Chapter2_Common_VindictorFlamer_Feature
Chapter5_Unique_FullAutoShotgun_Item	Full-Auto Shotgun	This weapon has a {g|Encyclopedia:BurstAttacksGlossary}burst{/g} attack (4 {g|Encyclopedia:ActionPoints}AP{/g}) with a {g|Encyclopedia:RateOfFire}rate of fire{/g} equal to the number of shells in the magazine. When the wielder uses it, they become {g|Encyclopedia:StaggeredEffect}staggered{/g} for 1 {g|Encyclopedia:Round}round{/g}. {g|Encyclopedia:Reload}Reloading{/g} costs 3 AP.	Shotgun	Basic	Solid	Shotgun	false	true	45	55	10	0	0	6	0	7	6	Shotgun_ScatterAbility	AOE	1	Shotgun_Shot_AbilityFXSettings		BurstFire_Ability	Burst	4	Shotgun_Shot_AbilityFXSettings		ReloadAbility	Reload	3	Shotgun_Shot_AbilityFXSettings			None					None				Chest - EpitaphEntrance: AdeptusMechanicus_Corpse_DLC2	ShotgunPush_Feature	SolidProjectileWeapon_Feature	Chapter5_Unique_FullAutoShotgun_Feature
Chapter5_Unique_OverlordMercyMaul_Item	Tormentor of the Chastened	This weapon deals an additional +1 base damage for each common {g|Encyclopedia:NegativeEffectTypesGlossary}negative effect{/g} and each {g|Encyclopedia:Traumas}trauma{/g} on the target.	Hammer	Melee	Power	MaulOrHammer	false	false	30	45	45	0	0	0	0	1	-1	HammersMeleeAttack_Ability	SingleShot	1	PowerMaul_AbilityFXSettings		PowerMaul_AoE_Ability	AOE	2	PowerMaul_AbilityFXSettings		Hammer_PushAbility	SingleShot	2	PowerMaul_AbilityFXSettings	Hammer_PushAbilityAdditionalEffect		None					None				Chest - TechArcGrave_Lair: AdeptusMechanicus_Chests_DLC2	Chapter5_Unique_OverlordMercyMaul_Item_Feature
Chapter5_Unique_ProtectiveWebber_Item	Pacification Webber	Targets {g|Encyclopedia:HitSequenceGlossary}hit{/g} by this webber suffer −30 {g|Encyclopedia:WarhammerWeaponSkill}Weapon Skill{/g} and {g|Encyclopedia:WarhammerBallisticSkill}Ballistic Skill{/g}. At the start of their {g|Encyclopedia:Turn}turn{/g}, they must pass an {g|Encyclopedia:WarhammerAgility}Agility{/g} {g|Encyclopedia:ResistanceTest}resistance test{/g} with a −10 penalty to remove this effect.	Webber	Basic	Exotic	false	false	true	35	40	0	10	0	1	0	10	8	SingleShotWebber_Ability	SingleShot	1	Webber_SingleShot_AbilityFXSettings	Chapter5_Unique_ProtectiveWebber_AdditionalEffect	Webber_AoEAbility	AOE	2	Webber_AoEShot_AbilityFXSettings	Chapter5_Unique_ProtectiveWebber_AdditionalEffect	ReloadAbility	Reload	3				None					None				Chest - TechArcGrave_Lair: AdeptusMechanicus_Chests_DLC2	
Chapter5_Unique_RackFoehammer_Item	The Rack	The wielder can make a free attack with this weapon if they shot from {g|f:48f5a4051c0c4cf691c84cb27b6876a3}the Ruin{/g} on the same {g|Encyclopedia:Turn}turn{/g}.	Shotgun	Pistol	Solid	Shotgun	false	false	35	40	10	0	0	1	0	6	6	ShotgunFoehammer_ScatterAbility	AOE	1	Shotgun_Shot_AbilityFXSettings		ReloadAbility	Reload	1				None					None					None				Chest - EpitaphEntrance: AdeptusMechanicus_Chest_DLC2	Chapter5_Unique_RackFoehammer_Feature	ShotgunPush_Feature	SolidProjectileWeapon_Feature
Chapter5_Unique_RuinFoehammer_Item	The Ruin	The wielder can make a free attack with this weapon if they shot from {g|f:414a941ed21c4602a2b4555f43b811df}the Rack{/g} on the same {g|Encyclopedia:Turn}turn{/g}.	Shotgun	Pistol	Solid	Shotgun	false	false	35	40	10	0	0	1	0	6	6	ShotgunFoehammer_ScatterAbility	AOE	1	Shotgun_Shot_AbilityFXSettings		ReloadAbility	Reload	1				None					None					None				Chest - EpitaphEntrance: AdeptusMechanicus_Chest_DLC2	Chapter5_Unique_RuinFoehammer_Feature	ShotgunPush_Feature	SolidProjectileWeapon_Feature
ChargedStaffItem	Charged Staff	The wielder of this staff (power level 9) gains the <b>Lightning Arc</b> {g|Encyclopedia:Ability}ability{/g}. The ability is also available in its {g|Encyclopedia:HeroicAct}heroic act{/g} and {g|Encyclopedia:DesperateMeasure}desperate measure{/g} versions. Power level affects the {g|Encyclopedia:DamageGlossary}damage{/g} of this power.\n<indent=5%>+10 {g|Encyclopedia:WarhammerWillpower}Willpower{/g}</indent>	PsykerStaff	Melee	Primitive	false	false	true	4	8	0	0	0	0	0	1	-1	MacesMeleeAttack_Ability	SingleShot	1	ForceSword_AbilityFXSettings		ChainLightningAbility	Custom	2	ChainLightning_AbilityFXSettings		ChainLightningPushAbility	Custom	2	ChainLightning_AbilityFXSettings		ChainLightningDesperatePushAbility	Custom	2	ChainLightning_AbilityFXSettings			None				Unit - ExportedPregens: 4y6_Idira_22lvl_ExportedPregen, Unit - ExportedPregens: 4y6_Idira_22lvl_PetRaven_ExportedPregen, Unit - ExportedPregens: 4y6_Idira_27lvl_ExportedPregen_ExportedPregen, Unit - ExportedPregens: Idira19Chapel_ExportedPregen, Unit - ExportedPregens: IdiraCompanion_Level25_MikandraParty_ExportedPregen, Unit - ExportedPregens: IdiraCompanion_Level39_PetRaven, Unit - ExportedPregens: IdiraCompanion_Level_27_Overseer, Unit - ExportedPregens: IdiraCompanion_lvl38_treasureworld_ExportedPregen, Unit - ExportedPregens: IdiraCompanion_lvl38_treasureworld_PetRaven_ExportedPregen, Unit - ExportedPregens: PlayerRT_Level25_TesseraParty_ExportedPregen, Unit - ExportedPregens: PlayerRT_Level37_TesseraParty_ExportedPregen, Unit - ExportedPregens: PlayerRT_Level37_ValladinParty_ExportedPregen, Unit - ExportedPregens: PlayerRT_Level47_ExportedPregen, Unit - ExportedPregens: PlayerRT_Level47_PetEagle_ExportedPregen, Unit - ExportedPregens: RT_lv38_chordafight_Psyker_ExportedPregen, Unit - ExportedPregens: RT_lvl38_treasureworld_ExportedPregen, Unit - ExportedPregens: Sayonara_23_Idira_ExportedPregen, Unit - ExportedPregens: Sayonara_39lvl_Idira_ExportedPregen, Unit - ExportedPregens: Yanus19RT_ExportedPregen, Unit - ExportedPregens: zin_22_IdiraCompanion_ExportedPregen, Chest - CR10: Forest_GoodLoot1	ChargedStaff_Feature
ChtonosCannonItem		Attacks with Life Sunderer grant +50% to {g|Encyclopedia:OverpenetrationFullGlossary}overpenetration{/g}.	Splinter	Heavy	Exotic	false	true	true	5	6	10	0	0	9	40	24	96	SplinterRifle_SingleShot_Ability	SingleShot	2	SplinterCannon_Shot_AbilityFXSettings	ViralToxin_withCheck0_AdditionalEffect	SplinterRifleBurstFire_Ability	Burst	3	SplinterCannon_Shot_AbilityFXSettings	ViralToxin_withCheck0_AdditionalEffect	ReloadAbility	Reload	5	SplinterCannon_Shot_AbilityFXSettings			None					None				Unit - Ch03_CommoraghPrison: ChtonosPainEngine	ChtonosCannonFeature	ViralToxin_Power8_ForWeapon_Feature
CombatShotgunT2CH04_Item	Combat Shotgun	<i>Shotguns knock enemies back when shot at {g|Encyclopedia:Range}effective range{/g}.</i>	Shotgun	Basic	Solid	Shotgun	false	true	18	24	10	0	0	1	0	7	8	Shotgun_ScatterAbility	AOE	1	Shotgun_Shot_AbilityFXSettings		ReloadAbility	Reload	2	Shotgun_Shot_AbilityFXSettings			None					None					None				Unit - Ch04_VoidshipBridgeBoarding: HumanBridgeGuard_Ranged_Boarding, Chest - VigilCastle: ImperiumMilitary_VC_AfterBattle	ShotgunPush_Feature	SolidProjectileWeapon_Feature
CombatShotgun_Item	Combat Shotgun	<i>Shotguns knock enemies back when shot at {g|Encyclopedia:Range}effective range{/g}.</i>	Shotgun	Basic	Solid	Shotgun	false	true	18	22	10	0	0	1	0	7	8	Shotgun_ScatterAbility	AOE	1	Shotgun_Shot_AbilityFXSettings		ReloadAbility	Reload	2	Shotgun_Shot_AbilityFXSettings			None					None					None				Unit - Ch02_DestroyedBlackShip: PossessedOfficer, Unit - Ch02_FootfallDock: FootfallAnverKnivesOutLeader_MeleeRanged_Elite, Unit - Ch02_ForgeWorldAndHeart: CorruptedLexmechanic, Unit - Ch02_ForgeWorldAndHeart: CorruptedMagosOrdinator, Unit - Ch02_Lair4_TheLure: Lair4GenestealerCultGrenadier, Unit - Ch02_Macrocannon_Psyker_Q1: MacrocannonPossessedGuard, Unit - Ch02_ForgeWorldAndHeart: HeinrixCompanionCopy, Unit - ExportedPregens: Yanus19Abel_ExportedPregen, Unit - HeinrixCompanion: HeinrixCompanion, Unit - HeinrixCompanion: HeinrixCompanion_Ch02_TrueMid, Unit - HeinrixCompanion: HeinrixCompanion_Ch03_TrueStart, Unit - SolomorneCompanion: SolomorneCompanion_22lvl_Overseer, Unit - SolomorneCompanion: SolomorneCompanion_22lvl_WithGlaito, Unit - SolomorneCompanion: SolomorneCompanion_27lvl_Overseer, Chest - Prison: Drukhari_PrisonPitOwnChest01	ShotgunPush_Feature	SolidProjectileWeapon_Feature
CorruptedInfernoPistol_Item	Corrupted Inferno Pistol	This pistol increases the wielder's {g|Encyclopedia:SkillCoercion}Coercion{/g} by +10 and does not require weapon proficiency to be wielded.	Melta	Pistol	Melta	false	false	false	10	16	50	0	0	0	0	8	3	SingleShot_PistolAbility	SingleShot	1	Melta_Shot_AbilityFXSettings		InfernoPistolAoEAbility	AOE	1	Melta_Shot_AbilityFXSettings		ReloadAbility	Reload	2	Melta_Shot_AbilityFXSettings			None					None				Unit - ExportedPregens: Yanus19RT_ExportedPregen, Chest - CR0: PrologueAP_GoodLoot02_corruption	Coercion10_Feature
DaredevilAutopistol_Item	Daredevil Pistol	This pistol has a special attack that costs 0 AP, has increased rate of fire, and ends the wielder's turn.	Pistol	Pistol	Solid	false	false	false	9	13	10	0	0	8	15	10	48	SingleShot_PistolAbility	SingleShot	1	SolidPistolProjectile_Shot_AbilityFXSettings		BurstFire_PistolAbility	Burst	2	SolidPistolProjectile_Shot_AbilityFXSettings		BurstFire_DaredevilPistolAbility	Reload	0	SolidPistolProjectile_Shot_AbilityFXSettings		ReloadAbility	Reload	1	SolidPistolProjectile_Shot_AbilityFXSettings			None				Unit - Ch04_Canteena: Ch04Chorda_Bodyguard_unit	SolidProjectileWeapon_Feature
DaringCutlass_Sword_Item	Daring Cutlass	When the wielder has {g|Encyclopedia:MeleeSuperiority}melee superiority{/g}, attacks with this sword always score critical {g|Encyclopedia:HitSequenceGlossary}hits{/g} with a +100% {g|Encyclopedia:Bonus}bonus{/g} to {g|Encyclopedia:CritChancesAndCritDamageGlossary}critical damage{/g}.	Sword	Melee	Primitive	Sword	false	false	26	40	15	0	0	0	0	1	-1	SwordsMeleeAttack_Ability	SingleShot	1	Sword_AbilityFXSettings		OneHandedSword_AoEAbility	AOE	2	Sword_AbilityFXSettings			None					None					None				Unit - Ch04_Canteena: Footfall_Vladaym_Ch04	Parry10_Feature	DaringCutlass_Sword_Feature
DarkLance_Item	Dark Lance	<i>Laser weapons are effective against targets in {g|Encyclopedia:DetailsOfTheCoverGlossary}cover{/g} and targets with high {g|Encyclopedia:DodgeGlossary}dodge{/g}.</i>	BlastGun	Heavy	Laser	false	true	true	20	28	60	30	0	1	0	20	1	DarkLanceAoEAbility	AOE	2	LanceShot_AbilityFXSettings_D20		ReloadAbility	Reload	1				None					None					None				Unit - Ch03_ReavingTempestSpire: DrukhariYremeriss_Thrallmaster_unit, Vendor - LiegeChapter2_VendorTable_Base 64PF	LaserCoverReduce_Feature
DeadShotStubRevolver_Item	Dead Shot Stub Revolver		Pistol	Pistol	Solid	false	false	false	8	16	15	0	15	1	15	12	6	SingleShot_PistolAbility	SingleShot	1	SolidProjectile_Shot_AbilityFXSettings		ReloadAbility	Reload	1				None					None					None				Unit - Ch01_NavisNobilliteStation: Felec, Unit - ExportedPregens: AbelardCompanion_Level7_EtelParty_ExportedPregen	SolidProjectileWeapon_Feature
DeadlyPrecision_BoltPistol_Item	Deadly Precision	{g|Encyclopedia:SingleRangedAttacksGlossary}Single-shot{/g} attacks with this pistol always score {g|Encyclopedia:CritChancesAndCritDamageGlossary}critical hits{/g}.	Bolter	Pistol	Bolt	false	false	false	14	16	10	0	10	3	20	14	6	SingleShot_PistolAbility	SingleShot	1	BoltPistol_BoltShot_AbilityFXSettings		BurstFire_PistolAbility	Burst	2	BoltPistol_BoltShot_AbilityFXSettings		ReloadAbility	Reload	1	BoltPistol_BoltShot_AbilityFXSettings			None					None				Chest - CR22: AdeptusMechanicus_LootGoodHidden	DeadlyPrecision_BoltPistol_Feature
DeadshotSplinterRifleItem	Deadshot Splinter Rifle	This rifle has {g|Encyclopedia:DeadeyeShot}deadeye shot{/g}. Deadeye shot deals additional {g|Encyclopedia:DamageGlossary}damage{/g} equal to {uip|Damage|c4b67aae857f464290040b025f2e6252}.	Splinter	Basic	Exotic	false	false	true	25	35	20	0	0	6	7	20	16	SplinterRifle_SingleShot_Ability	SingleShot	1	Splinter_Shot_AbilityFXSettings	ViralToxin_withCheck0_AdditionalEffect	SplinterRifleBurstFire_Ability	Burst	2	Splinter_Shot_AbilityFXSettings	ViralToxin_withCheck0_AdditionalEffect	PreciseShotSplinterRifle_Ability	SingleShot	2	Splinter_HeavyRecoil_Shot_AbilityFXSettings	ViralToxin_withCheck0_AdditionalEffect	ReloadAbility	Reload	4				None				Unit - Ch03_CommorraghArena: DrukhariSniper_Ranged_Portals_Loot, Unit - ExportedPregens: Sayonara_39lvl_RT_ExportedPregen	DeadshotSplinterRifleFeature	ViralToxin_Power8_ForWeapon_Feature
DeathCultBladeT1CH2_Item	Death Cult Blade		Sword	Melee	Blade	Sword	false	true	15	25	20	0	0	0	0	1	-1	BladeMeleeAttack_Ability	SingleShot	1	Sword_AbilityFXSettings		BladeTwoHanded_AoEAbility	AOE	2	Sword_AbilityFXSettings			None					None					None				Unit - ExportedPregens: 4y6_Kibellah_27lvl_ExportedPregen_ExportedPregen	Blade_Feature
DeathCultBladeUnique1_Item	Partner in Death	Whenever an ally adjacent to the wielder attacks an enemy, the wielder makes an attack of opportunity against that enemy if possible.	Sword	Melee	Blade	Sword	false	true	35	42	20	0	0	0	0	1	-1	BladeMeleeAttack_Ability	SingleShot	1	Sword_AbilityFXSettings		BladeTwoHanded_AoEAbility	AOE	2	Sword_AbilityFXSettings			None					None					None				Vendor - DrusianChapter4_VendorTable_Base 95PF	Blade_Feature	DeathCultBladeUnique1_Feature
DeathCultBlade_Item			Sword	Melee	Blade	Sword	false	true	17	20	5	0	0	0	0	1	-1	BladeMeleeAttack_Ability	SingleShot	1	Sword_AbilityFXSettings		BladeTwoHanded_AoEAbility	AOE	2	Sword_AbilityFXSettings		MeleeLinearTwoHandedSword_ability	AOE	2	Sword_AbilityFXSettings			None					None				Unit - Ch_00_VoidshipOfficerDeck_AfterPorlogue: DeathCultist_Guard, Unit - DLC1_DeathCultTemple: DeathCultistBrutal_Peacefull, Unit - ExportedPregens: 4y6_Kibellah_22lvl_ExportedPregen	Blade_Feature
DeathCultKnifeUnique_Item	Bloody Pact	This knife grants its wielder a special ability called {g|f:2f680a6d85ef4ed9b48aa71532d3c9f8}Crimson Rage{/g}.	Dagger	Melee	Primitive	false	false	false	9	10	10	50	0	0	0	1	-1	BladeMeleeAttack_Ability	SingleShot	1	Knife_AbilityFXSettings		DeathCultKnifeUnique_Ability	Custom	0				None					None					None				Unit - ExportedPregens: 4y6_Kibellah_22lvl_ExportedPregen, Unit - ExportedPregens: 4y6_Kibellah_27lvl_ExportedPregen_ExportedPregen, Chest - DeathCultTemple: AdeptusMechanicus_GoodLoot1	DeathCultKnifeUnique_CooldownFeature
